Date,Year,Quarter,Month,Month_Number,Month_Name,Month_Short,Year_Month,Day_of_Month,Day_Name,Day_of_Week,Is_Weekend
2020-04-28,2020,Q2,4,4,April,Apr,2020-04,28,Tuesday,2,Weekday
2020-04-29,2020,Q2,4,4,April,Apr,2020-04,29,Wednesday,3,Weekday
2020-04-30,2020,Q2,4,4,April,Apr,2020-04,30,Thursday,4,Weekday
2020-05-01,2020,Q2,5,5,May,May,2020-05,1,Friday,5,Weekday
2020-05-02,2020,Q2,5,5,May,May,2020-05,2,Saturday,6,Weekend
2020-05-03,2020,Q2,5,5,May,May,2020-05,3,Sunday,7,Weekend
2020-05-04,2020,Q2,5,5,May,May,2020-05,4,Monday,1,Weekday
2020-05-05,2020,Q2,5,5,May,May,2020-05,5,Tuesday,2,Weekday
2020-05-06,2020,Q2,5,5,May,May,2020-05,6,Wednesday,3,Weekday
2020-05-07,2020,Q2,5,5,May,May,2020-05,7,Thursday,4,Weekday
2020-05-08,2020,Q2,5,5,May,May,2020-05,8,Friday,5,Weekday
2020-05-09,2020,Q2,5,5,May,May,2020-05,9,Saturday,6,Weekend
2020-05-10,2020,Q2,5,5,May,May,2020-05,10,Sunday,7,Weekend
2020-05-11,2020,Q2,5,5,May,May,2020-05,11,Monday,1,Weekday
2020-05-12,2020,Q2,5,5,May,May,2020-05,12,Tuesday,2,Weekday
2020-05-13,2020,Q2,5,5,May,May,2020-05,13,Wednesday,3,Weekday
2020-05-14,2020,Q2,5,5,May,May,2020-05,14,Thursday,4,Weekday
2020-05-15,2020,Q2,5,5,May,May,2020-05,15,Friday,5,Weekday
2020-05-16,2020,Q2,5,5,May,May,2020-05,16,Saturday,6,Weekend
2020-05-17,2020,Q2,5,5,May,May,2020-05,17,Sunday,7,Weekend
2020-05-18,2020,Q2,5,5,May,May,2020-05,18,Monday,1,Weekday
2020-05-19,2020,Q2,5,5,May,May,2020-05,19,Tuesday,2,Weekday
2020-05-20,2020,Q2,5,5,May,May,2020-05,20,Wednesday,3,Weekday
2020-05-21,2020,Q2,5,5,May,May,2020-05,21,Thursday,4,Weekday
2020-05-22,2020,Q2,5,5,May,May,2020-05,22,Friday,5,Weekday
2020-05-23,2020,Q2,5,5,May,May,2020-05,23,Saturday,6,Weekend
2020-05-24,2020,Q2,5,5,May,May,2020-05,24,Sunday,7,Weekend
2020-05-25,2020,Q2,5,5,May,May,2020-05,25,Monday,1,Weekday
2020-05-26,2020,Q2,5,5,May,May,2020-05,26,Tuesday,2,Weekday
2020-05-27,2020,Q2,5,5,May,May,2020-05,27,Wednesday,3,Weekday
2020-05-28,2020,Q2,5,5,May,May,2020-05,28,Thursday,4,Weekday
2020-05-29,2020,Q2,5,5,May,May,2020-05,29,Friday,5,Weekday
2020-05-30,2020,Q2,5,5,May,May,2020-05,30,Saturday,6,Weekend
2020-05-31,2020,Q2,5,5,May,May,2020-05,31,Sunday,7,Weekend
2020-06-01,2020,Q2,6,6,June,Jun,2020-06,1,Monday,1,Weekday
2020-06-02,2020,Q2,6,6,June,Jun,2020-06,2,Tuesday,2,Weekday
2020-06-03,2020,Q2,6,6,June,Jun,2020-06,3,Wednesday,3,Weekday
2020-06-04,2020,Q2,6,6,June,Jun,2020-06,4,Thursday,4,Weekday
2020-06-05,2020,Q2,6,6,June,Jun,2020-06,5,Friday,5,Weekday
2020-06-06,2020,Q2,6,6,June,Jun,2020-06,6,Saturday,6,Weekend
2020-06-07,2020,Q2,6,6,June,Jun,2020-06,7,Sunday,7,Weekend
2020-06-08,2020,Q2,6,6,June,Jun,2020-06,8,Monday,1,Weekday
2020-06-09,2020,Q2,6,6,June,Jun,2020-06,9,Tuesday,2,Weekday
2020-06-10,2020,Q2,6,6,June,Jun,2020-06,10,Wednesday,3,Weekday
2020-06-11,2020,Q2,6,6,June,Jun,2020-06,11,Thursday,4,Weekday
2020-06-12,2020,Q2,6,6,June,Jun,2020-06,12,Friday,5,Weekday
2020-06-13,2020,Q2,6,6,June,Jun,2020-06,13,Saturday,6,Weekend
2020-06-14,2020,Q2,6,6,June,Jun,2020-06,14,Sunday,7,Weekend
2020-06-15,2020,Q2,6,6,June,Jun,2020-06,15,Monday,1,Weekday
2020-06-16,2020,Q2,6,6,June,Jun,2020-06,16,Tuesday,2,Weekday
2020-06-17,2020,Q2,6,6,June,Jun,2020-06,17,Wednesday,3,Weekday
2020-06-18,2020,Q2,6,6,June,Jun,2020-06,18,Thursday,4,Weekday
2020-06-19,2020,Q2,6,6,June,Jun,2020-06,19,Friday,5,Weekday
2020-06-20,2020,Q2,6,6,June,Jun,2020-06,20,Saturday,6,Weekend
2020-06-21,2020,Q2,6,6,June,Jun,2020-06,21,Sunday,7,Weekend
2020-06-22,2020,Q2,6,6,June,Jun,2020-06,22,Monday,1,Weekday
2020-06-23,2020,Q2,6,6,June,Jun,2020-06,23,Tuesday,2,Weekday
2020-06-24,2020,Q2,6,6,June,Jun,2020-06,24,Wednesday,3,Weekday
2020-06-25,2020,Q2,6,6,June,Jun,2020-06,25,Thursday,4,Weekday
2020-06-26,2020,Q2,6,6,June,Jun,2020-06,26,Friday,5,Weekday
2020-06-27,2020,Q2,6,6,June,Jun,2020-06,27,Saturday,6,Weekend
2020-06-28,2020,Q2,6,6,June,Jun,2020-06,28,Sunday,7,Weekend
2020-06-29,2020,Q2,6,6,June,Jun,2020-06,29,Monday,1,Weekday
2020-06-30,2020,Q2,6,6,June,Jun,2020-06,30,Tuesday,2,Weekday
2020-07-01,2020,Q3,7,7,July,Jul,2020-07,1,Wednesday,3,Weekday
2020-07-02,2020,Q3,7,7,July,Jul,2020-07,2,Thursday,4,Weekday
2020-07-03,2020,Q3,7,7,July,Jul,2020-07,3,Friday,5,Weekday
2020-07-04,2020,Q3,7,7,July,Jul,2020-07,4,Saturday,6,Weekend
2020-07-05,2020,Q3,7,7,July,Jul,2020-07,5,Sunday,7,Weekend
2020-07-06,2020,Q3,7,7,July,Jul,2020-07,6,Monday,1,Weekday
2020-07-07,2020,Q3,7,7,July,Jul,2020-07,7,Tuesday,2,Weekday
2020-07-08,2020,Q3,7,7,July,Jul,2020-07,8,Wednesday,3,Weekday
2020-07-09,2020,Q3,7,7,July,Jul,2020-07,9,Thursday,4,Weekday
2020-07-10,2020,Q3,7,7,July,Jul,2020-07,10,Friday,5,Weekday
2020-07-11,2020,Q3,7,7,July,Jul,2020-07,11,Saturday,6,Weekend
2020-07-12,2020,Q3,7,7,July,Jul,2020-07,12,Sunday,7,Weekend
2020-07-13,2020,Q3,7,7,July,Jul,2020-07,13,Monday,1,Weekday
2020-07-14,2020,Q3,7,7,July,Jul,2020-07,14,Tuesday,2,Weekday
2020-07-15,2020,Q3,7,7,July,Jul,2020-07,15,Wednesday,3,Weekday
2020-07-16,2020,Q3,7,7,July,Jul,2020-07,16,Thursday,4,Weekday
2020-07-17,2020,Q3,7,7,July,Jul,2020-07,17,Friday,5,Weekday
2020-07-18,2020,Q3,7,7,July,Jul,2020-07,18,Saturday,6,Weekend
2020-07-19,2020,Q3,7,7,July,Jul,2020-07,19,Sunday,7,Weekend
2020-07-20,2020,Q3,7,7,July,Jul,2020-07,20,Monday,1,Weekday
2020-07-21,2020,Q3,7,7,July,Jul,2020-07,21,Tuesday,2,Weekday
2020-07-22,2020,Q3,7,7,July,Jul,2020-07,22,Wednesday,3,Weekday
2020-07-23,2020,Q3,7,7,July,Jul,2020-07,23,Thursday,4,Weekday
2020-07-24,2020,Q3,7,7,July,Jul,2020-07,24,Friday,5,Weekday
2020-07-25,2020,Q3,7,7,July,Jul,2020-07,25,Saturday,6,Weekend
2020-07-26,2020,Q3,7,7,July,Jul,2020-07,26,Sunday,7,Weekend
2020-07-27,2020,Q3,7,7,July,Jul,2020-07,27,Monday,1,Weekday
2020-07-28,2020,Q3,7,7,July,Jul,2020-07,28,Tuesday,2,Weekday
2020-07-29,2020,Q3,7,7,July,Jul,2020-07,29,Wednesday,3,Weekday
2020-07-30,2020,Q3,7,7,July,Jul,2020-07,30,Thursday,4,Weekday
2020-07-31,2020,Q3,7,7,July,Jul,2020-07,31,Friday,5,Weekday
2020-08-01,2020,Q3,8,8,August,Aug,2020-08,1,Saturday,6,Weekend
2020-08-02,2020,Q3,8,8,August,Aug,2020-08,2,Sunday,7,Weekend
2020-08-03,2020,Q3,8,8,August,Aug,2020-08,3,Monday,1,Weekday
2020-08-04,2020,Q3,8,8,August,Aug,2020-08,4,Tuesday,2,Weekday
2020-08-05,2020,Q3,8,8,August,Aug,2020-08,5,Wednesday,3,Weekday
2020-08-06,2020,Q3,8,8,August,Aug,2020-08,6,Thursday,4,Weekday
2020-08-07,2020,Q3,8,8,August,Aug,2020-08,7,Friday,5,Weekday
2020-08-08,2020,Q3,8,8,August,Aug,2020-08,8,Saturday,6,Weekend
2020-08-09,2020,Q3,8,8,August,Aug,2020-08,9,Sunday,7,Weekend
2020-08-10,2020,Q3,8,8,August,Aug,2020-08,10,Monday,1,Weekday
2020-08-11,2020,Q3,8,8,August,Aug,2020-08,11,Tuesday,2,Weekday
2020-08-12,2020,Q3,8,8,August,Aug,2020-08,12,Wednesday,3,Weekday
2020-08-13,2020,Q3,8,8,August,Aug,2020-08,13,Thursday,4,Weekday
2020-08-14,2020,Q3,8,8,August,Aug,2020-08,14,Friday,5,Weekday
2020-08-15,2020,Q3,8,8,August,Aug,2020-08,15,Saturday,6,Weekend
2020-08-16,2020,Q3,8,8,August,Aug,2020-08,16,Sunday,7,Weekend
2020-08-17,2020,Q3,8,8,August,Aug,2020-08,17,Monday,1,Weekday
2020-08-18,2020,Q3,8,8,August,Aug,2020-08,18,Tuesday,2,Weekday
2020-08-19,2020,Q3,8,8,August,Aug,2020-08,19,Wednesday,3,Weekday
2020-08-20,2020,Q3,8,8,August,Aug,2020-08,20,Thursday,4,Weekday
2020-08-21,2020,Q3,8,8,August,Aug,2020-08,21,Friday,5,Weekday
2020-08-22,2020,Q3,8,8,August,Aug,2020-08,22,Saturday,6,Weekend
2020-08-23,2020,Q3,8,8,August,Aug,2020-08,23,Sunday,7,Weekend
2020-08-24,2020,Q3,8,8,August,Aug,2020-08,24,Monday,1,Weekday
2020-08-25,2020,Q3,8,8,August,Aug,2020-08,25,Tuesday,2,Weekday
2020-08-26,2020,Q3,8,8,August,Aug,2020-08,26,Wednesday,3,Weekday
2020-08-27,2020,Q3,8,8,August,Aug,2020-08,27,Thursday,4,Weekday
2020-08-28,2020,Q3,8,8,August,Aug,2020-08,28,Friday,5,Weekday
2020-08-29,2020,Q3,8,8,August,Aug,2020-08,29,Saturday,6,Weekend
2020-08-30,2020,Q3,8,8,August,Aug,2020-08,30,Sunday,7,Weekend
2020-08-31,2020,Q3,8,8,August,Aug,2020-08,31,Monday,1,Weekday
2020-09-01,2020,Q3,9,9,September,Sep,2020-09,1,Tuesday,2,Weekday
2020-09-02,2020,Q3,9,9,September,Sep,2020-09,2,Wednesday,3,Weekday
2020-09-03,2020,Q3,9,9,September,Sep,2020-09,3,Thursday,4,Weekday
2020-09-04,2020,Q3,9,9,September,Sep,2020-09,4,Friday,5,Weekday
2020-09-05,2020,Q3,9,9,September,Sep,2020-09,5,Saturday,6,Weekend
2020-09-06,2020,Q3,9,9,September,Sep,2020-09,6,Sunday,7,Weekend
2020-09-07,2020,Q3,9,9,September,Sep,2020-09,7,Monday,1,Weekday
2020-09-08,2020,Q3,9,9,September,Sep,2020-09,8,Tuesday,2,Weekday
2020-09-09,2020,Q3,9,9,September,Sep,2020-09,9,Wednesday,3,Weekday
2020-09-10,2020,Q3,9,9,September,Sep,2020-09,10,Thursday,4,Weekday
2020-09-11,2020,Q3,9,9,September,Sep,2020-09,11,Friday,5,Weekday
2020-09-12,2020,Q3,9,9,September,Sep,2020-09,12,Saturday,6,Weekend
2020-09-13,2020,Q3,9,9,September,Sep,2020-09,13,Sunday,7,Weekend
2020-09-14,2020,Q3,9,9,September,Sep,2020-09,14,Monday,1,Weekday
2020-09-15,2020,Q3,9,9,September,Sep,2020-09,15,Tuesday,2,Weekday
2020-09-16,2020,Q3,9,9,September,Sep,2020-09,16,Wednesday,3,Weekday
2020-09-17,2020,Q3,9,9,September,Sep,2020-09,17,Thursday,4,Weekday
2020-09-18,2020,Q3,9,9,September,Sep,2020-09,18,Friday,5,Weekday
2020-09-19,2020,Q3,9,9,September,Sep,2020-09,19,Saturday,6,Weekend
2020-09-20,2020,Q3,9,9,September,Sep,2020-09,20,Sunday,7,Weekend
2020-09-21,2020,Q3,9,9,September,Sep,2020-09,21,Monday,1,Weekday
2020-09-22,2020,Q3,9,9,September,Sep,2020-09,22,Tuesday,2,Weekday
2020-09-23,2020,Q3,9,9,September,Sep,2020-09,23,Wednesday,3,Weekday
2020-09-24,2020,Q3,9,9,September,Sep,2020-09,24,Thursday,4,Weekday
2020-09-25,2020,Q3,9,9,September,Sep,2020-09,25,Friday,5,Weekday
2020-09-26,2020,Q3,9,9,September,Sep,2020-09,26,Saturday,6,Weekend
2020-09-27,2020,Q3,9,9,September,Sep,2020-09,27,Sunday,7,Weekend
2020-09-28,2020,Q3,9,9,September,Sep,2020-09,28,Monday,1,Weekday
2020-09-29,2020,Q3,9,9,September,Sep,2020-09,29,Tuesday,2,Weekday
2020-09-30,2020,Q3,9,9,September,Sep,2020-09,30,Wednesday,3,Weekday
2020-10-01,2020,Q4,10,10,October,Oct,2020-10,1,Thursday,4,Weekday
2020-10-02,2020,Q4,10,10,October,Oct,2020-10,2,Friday,5,Weekday
2020-10-03,2020,Q4,10,10,October,Oct,2020-10,3,Saturday,6,Weekend
2020-10-04,2020,Q4,10,10,October,Oct,2020-10,4,Sunday,7,Weekend
2020-10-05,2020,Q4,10,10,October,Oct,2020-10,5,Monday,1,Weekday
2020-10-06,2020,Q4,10,10,October,Oct,2020-10,6,Tuesday,2,Weekday
2020-10-07,2020,Q4,10,10,October,Oct,2020-10,7,Wednesday,3,Weekday
2020-10-08,2020,Q4,10,10,October,Oct,2020-10,8,Thursday,4,Weekday
2020-10-09,2020,Q4,10,10,October,Oct,2020-10,9,Friday,5,Weekday
2020-10-10,2020,Q4,10,10,October,Oct,2020-10,10,Saturday,6,Weekend
2020-10-11,2020,Q4,10,10,October,Oct,2020-10,11,Sunday,7,Weekend
2020-10-12,2020,Q4,10,10,October,Oct,2020-10,12,Monday,1,Weekday
2020-10-13,2020,Q4,10,10,October,Oct,2020-10,13,Tuesday,2,Weekday
2020-10-14,2020,Q4,10,10,October,Oct,2020-10,14,Wednesday,3,Weekday
2020-10-15,2020,Q4,10,10,October,Oct,2020-10,15,Thursday,4,Weekday
2020-10-16,2020,Q4,10,10,October,Oct,2020-10,16,Friday,5,Weekday
2020-10-17,2020,Q4,10,10,October,Oct,2020-10,17,Saturday,6,Weekend
2020-10-18,2020,Q4,10,10,October,Oct,2020-10,18,Sunday,7,Weekend
2020-10-19,2020,Q4,10,10,October,Oct,2020-10,19,Monday,1,Weekday
2020-10-20,2020,Q4,10,10,October,Oct,2020-10,20,Tuesday,2,Weekday
2020-10-21,2020,Q4,10,10,October,Oct,2020-10,21,Wednesday,3,Weekday
2020-10-22,2020,Q4,10,10,October,Oct,2020-10,22,Thursday,4,Weekday
